                            -----Size(MB)----- ----Ports----             
 Id CagePos Type RPM State      Total     Free A      B      Capacity(GB)
145 2:2:1   FC    10 normal    417792    77824 0:3:3  1:3:3*          450
146 2:7:2   FC    10 normal    417792    78848 0:3:3* 1:3:3           450
147 2:2:3   FC    10 normal    417792    79872 0:3:3  1:3:3*          450
148 2:7:0   FC    10 normal    417792    77824 0:3:3* 1:3:3           450
149 2:7:1   FC    10 normal    417792    78848 0:3:3  1:3:3*          450
151 2:7:3   FC    10 normal    417792    76800 0:3:3  1:3:3*          450
152 3:2:0   FC    10 normal    417792    77824 0:3:4* 1:3:4           450
153 3:2:1   FC    10 normal    417792    77824 0:3:4  1:3:4*          450
154 3:2:2   FC    10 normal    417792    76800 0:3:4* 1:3:4           450
155 3:2:3   FC    10 normal    417792    79872 0:3:4  1:3:4*          450
156 3:7:0   FC    10 normal    417792    75776 0:3:4* 1:3:4           450
157 3:7:1   FC    10 normal    417792    78848 0:3:4  1:3:4*          450
158 3:7:2   FC    10 normal    417792    76800 0:3:4* 1:3:4           450
159 3:7:3   FC    10 normal    417792    78848 0:3:4  1:3:4*          450
160 4:2:0   FC    10 normal    417792    76800 0:6:1* 1:6:1           450
161 5:2:2   FC    10 normal    417792    77824 0:6:2* 1:6:2           450
162 4:2:2   FC    10 normal    417792    77824 0:6:1* 1:6:1           450
163 4:2:3   FC    10 normal    417792    78848 0:6:1  1:6:1*          450
164 4:7:0   FC    10 normal    417792    77824 0:6:1* 1:6:1           450
165 4:7:1   FC    10 normal    417792    79872 0:6:1  1:6:1*          450
166 4:7:2   FC    10 normal    417792    76800 0:6:1* 1:6:1           450
167 4:7:3   FC    10 normal    417792    78848 0:6:1  1:6:1*          450
168 3:9:1   FC    10 normal    417792    79872 0:3:4  1:3:4*          450
169 5:2:1   FC    10 normal    417792    77824 0:6:2  1:6:2*          450
170 5:7:0   FC    10 normal    417792    77824 0:6:2* 1:6:2           450
171 5:2:3   FC    10 normal    417792    79872 0:6:2  1:6:2*          450
172 2:2:2   FC    10 normal    417792    76800 0:3:3* 1:3:3           450
173 8:0:1   FC    10 normal    417792    80896 2:6:1  3:6:1*          450
174 5:7:2   FC    10 normal    417792    76800 0:6:2* 1:6:2           450
175 8:0:2   FC    10 normal    417792    79872 2:6:1* 3:6:1           450
176 1:6:2   FC    10 normal    417792    15360 0:3:2* 1:3:2           450
177 6:2:1   FC    10 normal    417792    14336 0:6:3  1:6:3*          450
178 6:2:2   FC    10 normal    417792    12288 0:6:3* 1:6:3           450
179 6:2:3   FC    10 normal    417792    16384 0:6:3  1:6:3*          450
180 1:7:1   FC    10 normal    417792    14336 0:3:2  1:3:2*          450
181 6:7:1   FC    10 normal    417792    14336 0:6:3  1:6:3*          450
182 6:7:2   FC    10 normal    417792     9216 0:6:3* 1:6:3           450
183 6:7:3   FC    10 normal    417792    14336 0:6:3  1:6:3*          450
184 7:2:0   FC    10 normal    417792    12288 0:6:4* 1:6:4           450
185 7:7:1   FC    10 normal    417792    14336 0:6:4  1:6:4*          450
186 7:2:2   FC    10 normal    417792    10240 0:6:4* 1:6:4           450
187 7:2:3   FC    10 normal    417792    16384 0:6:4  1:6:4*          450
188 7:7:0   FC    10 normal    417792    13312 0:6:4* 1:6:4           450
189 4:3:2   FC    15 normal    559104    82944 0:6:1* 1:6:1           600
190 7:7:2   FC    10 normal    417792    12288 0:6:4* 1:6:4           450
191 5:2:0   FC    10 normal    417792    75776 0:6:2* 1:6:2           450
192 6:7:0   FC    10 normal    417792    13312 0:6:3* 1:6:3           450
193 7:2:1   FC    10 normal    417792    14336 0:6:4  1:6:4*          450
194 4:3:3   FC    15 normal    559104    87040 0:6:1  1:6:1*          600
195 3:5:1   FC    15 normal    559104    86016 0:3:4  1:3:4*          600
196 5:3:1   FC    15 normal    559104    88064 0:6:2  1:6:2*          600
197 5:3:2   FC    15 normal    559104    83968 0:6:2* 1:6:2           600
198 5:3:3   FC    15 normal    559104    87040 0:6:2  1:6:2*          600
199 6:3:0   FC    15 normal    559104    82944 0:6:3* 1:6:3           600
200 0:6:0   FC    10 normal    417792     9216 0:3:1* 1:3:1           450
201 0:6:1   FC    10 normal    417792    20480 0:3:1  1:3:1*          450
202 0:6:2   FC    10 normal    417792    15360 0:3:1* 1:3:1           450
203 0:6:3   FC    10 normal    417792    11264 0:3:1  1:3:1*          450
204 8:0:3   FC    10 normal    417792    80896 2:6:1  3:6:1*          450
205 6:3:1   FC    15 normal    559104    86016 0:6:3  1:6:3*          600
206 6:3:2   FC    15 normal    559104    82944 0:6:3* 1:6:3           600
207 6:3:3   FC    15 normal    559104    82944 0:6:3  1:6:3*          600
208 7:3:0   FC    15 normal    559104    82944 0:6:4* 1:6:4           600
209 7:3:1   FC    15 normal    559104    82944 0:6:4  1:6:4*          600
210 7:3:2   FC    15 normal    559104    83968 0:6:4* 1:6:4           600
211 7:3:3   FC    15 normal    559104    83968 0:6:4  1:6:4*          600
213 13:9:0  FC    15 normal    559104    79872 2:6:4* 3:6:4           600
214 8:6:0   FC    15 normal    559104    83968 2:6:1* 3:6:1           600
215 3:6:1   FC    10 normal    417792    76800 0:3:4  1:3:4*          450
216 3:9:3   FC    10 normal    417792    78848 0:3:4  1:3:4*          450
217 8:6:1   FC    15 normal    559104    84992 2:6:1  3:6:1*          600
218 8:6:2   FC    15 normal    559104    82944 2:6:1* 3:6:1           600
219 8:6:3   FC    15 normal    559104    82944 2:6:1  3:6:1*          600
220 8:7:0   FC    10 normal    417792    80896 2:6:1* 3:6:1           450
221 8:7:1   FC    10 normal    417792    80896 2:6:1  3:6:1*          450
222 8:7:2   FC    10 normal    417792    79872 2:6:1* 3:6:1           450
223 8:7:3   FC    10 normal    417792    81920 2:6:1  3:6:1*          450
224 2:6:0   FC    10 normal    417792    77824 0:3:3* 1:3:3           450
225 2:6:1   FC    10 normal    417792    79872 0:3:3  1:3:3*          450
226 8:1:0   FC    10 normal    417792    79872 2:6:1* 3:6:1           450
227 2:6:3   FC    10 normal    417792    80896 0:3:3  1:3:3*          450
228 6:2:0   FC    10 normal    417792    13312 0:6:3* 1:6:3           450
229 9:6:0   FC    15 normal    559104    82944 2:6:2* 3:6:2           600
230 9:6:1   FC    15 normal    559104    84992 2:6:2  3:6:2*          600
231 9:6:2   FC    15 normal    559104    82944 2:6:2* 3:6:2           600
232 3:6:0   FC    10 normal    417792    78848 0:3:4* 1:3:4           450
233 1:6:0   FC    10 normal    417792     9216 0:3:2* 1:3:2           450
234 3:6:2   FC    10 normal    417792    75776 0:3:4* 1:3:4           450
235 3:6:3   FC    10 normal    417792    80896 0:3:4  1:3:4*          450
236 9:6:3   FC    15 normal    559104    83968 2:6:2  3:6:2*          600
237 9:7:0   FC    10 normal    417792    80896 2:6:2* 3:6:2           450
238 9:7:1   FC    10 normal    417792    80896 2:6:2  3:6:2*          450
239 9:7:2   FC    10 normal    417792    79872 2:6:2* 3:6:2           450
240 9:7:3   FC    10 normal    417792    81920 2:6:2  3:6:2*          450
241 10:2:0  FC    10 normal    417792    78848 2:6:3* 3:6:3           450
242 10:2:1  FC    10 normal    417792    80896 2:6:3  3:6:3*          450
